radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0,0,0
0.28858,-3.907,3.1628
0.68938,-6.3256,6.4186
0.88176,-1.1163,7.814
1.2184,6.5116,10.512
1.6353,2.6047,13.209
1.8918,-2.0465,14.233
2.1002,3.907,14.512
2.4369,9.3023,14.977
3.1904,14.233,15.163
3.5591,22.14,14.977
4.1683,24.093,14.233
4.9699,25.395,13.767
5.5471,26.326,13.209
6.3647,26.884,12.465
7.1663,26.605,12
