radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.076,7.405856030730881,4.7
0.154,12.169346764471513,2.9
0.23,18.859647330459126,2.5
0.307,22.61396375227315,2.2
0.385,26.460023293353224,2.1
0.463,29.847367238103022,2.3
0.54,31.675282482989726,2.6
0.618,33.13602092315237,1.9
0.695,33.86281440918657,2.1
0.771,35.874215892605385,2.9
0.847,37.51864489895998,4.6
0.926,37.970004699536176,6.7
1.,37.87131443983572,8.6
