radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.6,12.4,8.6
1.1,21.9,6.2
1.9,37.9,6.2
2.6,53.1,9.5
2.8,62.2,11.
3.4,68.,6.2
3.9,77.7,7.7
4.3,82.3,6.2
4.8,85.7,6.3
5.,91.3,2.
5.9,89.5,15.6
6.2,77.6,4.7
7.3,102.2,4.
8.4,113.8,8.7
8.5,95.2,15.5
9.5,97.5,6.2
11.2,101.1,10.2
13.1,105.8,11.
14.9,114.7,12.6
16.8,118.2,12.3
