radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0,0,0
0.014,0.193,0.286
0.38,3.188,3.281
1.23,7.029,5.721
2.,12.92,6.572
3.12,16.12,6.304
4.25,18.28,5.756
5.39,20.35,5.022
6.56,19.99,4.568
7.74,18.6,4.208
8.46,17.95,4.03
