radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0.,0,0
0.43779,3.937,5.1969
0.75819,6.6142,7.7165
1.5112,5.0394,13.386
2.4027,9.1339,17.165
2.927,5.9843,18.583
3.336,-0.7874,20.315
3.6115,4.7244,21.575
4.1384,11.024,22.362
4.8696,13.071,23.15
5.533,17.48,24.882
5.8085,22.992,25.039
6.4949,28.189,25.827
7.0897,32.283,26.142
7.8899,36.22,24.882
8.6898,39.055,24.252
9.6714,38.583,23.78
10.424,35.906,23.15
11.359,33.071,22.677
11.998,31.181,22.677
13,30,22.677
