radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0,0,0
1.3536,5.0251,21.106
2.2295,8.0402,33.668
3.0456,11.055,37.186
4.1008,14.07,38.191
4.9367,17.588,39.698
5.7924,22.111,40.201
6.6079,28.141,38.191
7.4039,32.663,41.206
8.0605,36.181,39.196
8.8169,39.196,38.693
9.5534,41.709,37.688
