radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0,0,0
1.4,3.3,17.2
2.8,8,20.6
6.4,17.5,26.4
7.9,22.4,25.7
9.1,26.3,25.5
10.9,30.3,25.5
13.4,29.9,24.4
14.2,29.4,23.6
16.5,30.9,22.1
17.5,32.8,20.8
19.,33,21
