radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0,0,0
0.0741,1.8347,1.8347
0.15566,4.0597,4.1527
0.26435,6.7473,6.1889
0.41384,9.8031,8.5004
0.5294,11.374,9.7924
0.62231,12.388,10.156
0.7334,12.75,10.332
0.83545,12.648,10.508
0.91935,12.547,10.5
0.99874,12.167,10.307
1.0872,11.694,10.299
