radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0,0,0
0.2,0.5,2.4
0.7,1.7,6.9
1.2,3,10.6
3.6,8.1,17
4,8.9,17.9
4.6,10.2,19.2
5.6,12.8,20.2
6.2,14.2,20.3
6.7,15.2,20.2
