radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0,0,0
0.3,1,2.9
1.4,4.7,12.8
2.4,7.7,16.8
3.2,9.6,17.7
3.9,11.5,18.3
4.6,13,18.9
6.3,16.4,21.4
7.5,18.6,23.1
9,20.9,23.6
10.9,23.4,22.8
21.8,37,16.6
