radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.2,14.4,13.
0.4,10.,7.
0.7,11.,7.8
0.8,17.4,9.6
1.1,23.5,11.2
1.2,18.6,5.
1.4,31.,5.2
1.6,32.5,3.
2.,40.9,5.9
2.1,44.3,4.1
2.3,44.8,4.5
2.8,51.7,12.7
3.,62.6,4.7
3.1,55.7,4.5
3.5,59.5,9.7
3.7,62.,4.5
4.,63.,3.2
4.3,66.6,6.9
4.4,62.2,2.6
4.9,71.7,2.7
5.3,72.3,15.5
5.4,66.1,7.3
5.5,73.4,6.
5.8,72.6,2.2
6.3,77.1,12.1
7.2,80.3,13.5
9.3,84.7,6.
14.,86.9,5.6
14.7,87.3,8.
