radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0,0,0
0.1,-0.1,0.4
0.4,-0.9,4
0.8,-1.5,6.7
1.1,-2.2,8.5
1.4,-2.8,10.1
2,-3.4,12.38
2.3,-3.9,13.05
2.8,-5.1,14.15
3.1,-4.4,14.7
3.7,2.7,15.31
4.3,7.7,15.37
5.3,13.2,15.03
5.5,14.5,14.92
6.3,19.1,14.38
7.2,23.5,13.77
9.3,30.7,12.27
14,38.2,9.823
15,40.,10.
