radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0.,0,0
0.23848,-3.7875,0
0.54984,-6.7436,1.1085
0.74584,-5.2656,2.4942
0.85533,-0.64665,3.0485
1.0028,6.6513,3.7875
1.1791,12.471,4.2494
1.4848,17.275,5.5427
1.8289,20.231,7.0208
2.1974,20.046,9.4226
2.4892,20.139,9.9769
