radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.04436045182152254,6.3,4.9
0.0889973,6.43939,4.384109999999999
0.13308135546456762,7.6,3.
0.22180225910761273,9.9,2.6
0.267321,14.0572,4.384200000000002
0.31052316275065783,13.8,1.4
0.39924406639370286,9.1,2.5
0.435291,15.6823,4.5306000000000015
0.487964970036748,16.6,3.2
0.5766858736797931,14.2,2.5
0.613934,18.1853,4.822899999999997
0.7541276809658832,13.3,1.2
0.803222,22.0047,5.1144
0.8428485846089283,22.4,2.4
0.9315694882519735,25.2,5.
0.978152,26.6994,4.5306
1.0202903918950184,32.,4.
1.15999,35.3405,4.676099999999998
1.1977321991811087,30.8,1.7
1.2864531028241537,41.6,2.9
1.34204,40.4744,4.820999999999998
1.375174006467199,44.6,2.3
1.4638949101102439,36.7,4.
1.5063,44.2911,5.1152000000000015
1.552615813753289,51.2,3.9
1.641336717396334,44.9,1.8
1.68853,46.6484,4.676400000000001
1.7300576210393792,53.6,13.
1.8187785246824242,48.1,9.8
1.87089,46.8136,4.530200000000001
1.9074994283254694,59.8,9.
2.04613,46.5396,4.675600000000003
2.13195,46.6947,6.721900000000005
2.66472,47.481,8.475999999999999
2.70755,48.8007,8.475200000000001
