radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0,0,0
0.6,0.5,8.7
1.1,0.9,14.8
1.9,1.5,22.3
2.6,2.2,26.7
3.4,3.4,28.8
4.3,6.4,30.4
4.8,8.5,31
5.9,14.5,32.3
8.5,26.4,34.5
9.5,29.8,35.2
11.2,33.3,34.6
17.,40.,30.
